accuracy,sensitivity,specificity,precision,recall,f1,tn,fp,fn,tp,model,threshold
0.7857142857142857,0.8666666666666667,0.5833333333333334,0.8387096774193549,0.8666666666666667,0.8524590163934426,7,5,4,26,XGBoost,0.45999999999999996
0.6666666666666666,0.7,0.5833333333333334,0.8076923076923077,0.7,0.75,7,5,9,21,CatBoost,0.54
0.6904761904761905,0.7666666666666667,0.5,0.7931034482758621,0.7666666666666667,0.7796610169491526,6,6,7,23,SVM,0.49
0.6666666666666666,0.7666666666666667,0.4166666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,5,7,7,23,LogisticRegression,0.25
0.6190476190476191,0.7,0.4166666666666667,0.75,0.7,0.7241379310344828,5,7,9,21,MLP,0.45000000000000007
0.7857142857142857,0.9666666666666667,0.3333333333333333,0.7837837837837838,0.9666666666666667,0.8656716417910447,4,8,1,29,RandomForest,0.43000000000000005
0.7619047619047619,0.9666666666666667,0.25,0.7631578947368421,0.9666666666666667,0.8529411764705882,3,9,1,29,KNN,0.1
